Date,,Name,Type,Details
,,,,
,,,,
Jan 1,Friday,New Year's Day,Federal Holiday,
,,,,
Jan 6,Wednesday,Epiphany,Christian,
Jan 7,Thursday,Orthodox Christmas Day,Orthodox,
,,,,
Jan 13,Wednesday,Stephen Foster Memorial Day,Observance,
Jan 14,Thursday,Orthodox New Year,Orthodox,
,,,,
Jan 18,Monday,Martin Luther King Jr. Day,Federal Holiday,
Jan 18,Monday,Idaho Human Rights Day,State holiday,Idaho
Jan 18,Monday,Civil Rights Day,State holiday,"Arizona, New Hampshire"
Jan 20,Wednesday,Inauguration Day,State holiday,DC
,,,,
,,,,
Jan 28,Thursday,Tu Bishvat/Tu B'Shevat,Jewish holiday,
Jan 29,Friday,Kansas Day,State Observation,Kansas
,,,,
,,,,
Feb 1,Monday,National Freedom Day,Observance,
Feb 1,Monday,First Day of Black History Month,Annual monthly observance,
,,,,
Feb 2,Tuesday,Groundhog Day,Observance,
,,,,
Feb 4,Thursday,Rosa Parks Day,Local observance,"California, Missouri"
Feb 5,Friday,National Wear Red Day,Observance,
,,,,
,,,,
,,,,
Feb 12,Friday,Lincoln's Birthday,State holiday,"CT, IL, MO, NY"
Feb 12,Friday,Chinese New Year,Observance,
,,,,
Feb 14,Sunday,Valentine's Day,Observance,
Feb 14,Sunday,Statehood Day,Local observance,Arizona
Feb 15,Monday,Presidents' Day,Federal Holiday,
Feb 15,Monday,Daisy Gatson Bates Day,State holiday,Arkansas
Feb 15,Monday,Susan B. Anthony's Birthday,Local observance,"CA, FL, NY, WI"
Feb 16,Tuesday,Shrove Tuesday/Mardi Gras,"Observance, Christian",
Feb 16,Tuesday,Elizabeth Peratrovich Day,Local observance,Alaska
Feb 17,Wednesday,Ash Wednesday,Christian,
,,,,
,,,,
Feb 25,Thursday,George Rogers Clark Day,Local observance,Indiana
Feb 26,Friday,Purim,Jewish holiday,
Feb 28,Sunday,Linus Pauling Day,Local observance,Oregon
,,,,
,,,,
,,,,
Mar 1,Monday,St. David's Day,"Observance, Christian",
Mar 1,Monday,Casimir Pulaski Day,Local observance,Illinois**
Mar 1,Monday,First Day of Women's History Month,Annual monthly observance,
Mar 2,Tuesday,Texas Independence Day,State holiday,Texas
Mar 2,Tuesday,Read Across America Day,Observance,
,,,,
Mar 5,Friday,Employee Appreciation Day,Observance,
,,,,
Mar 11,Thursday,Isra and Mi'raj,Muslim,
,,,,
Mar 14,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time,
Mar 17,Wednesday,St. Patrick's Day,"Observance, Christian",
Mar 17,Wednesday,Evacuation Day,State holiday,Massachusetts*
,,,,
Mar 20,Saturday,March Equinox,Season,
Mar 25,Thursday,Maryland Day,Local observance,Maryland
Mar 26,Friday,Prince Jonah Kuhio Kalanianaole Day,State holiday,Hawaii
Mar 27,Saturday,Passover Eve,Jewish holiday,
,,,,
Mar 28,Sunday,Palm Sunday,Christian,
Mar 28,Sunday,Passover (first day),Jewish holiday,
Mar 29,Monday,Seward's Day,State holiday,Alaska
Mar 29,Monday,National Vietnam War Veterans Day,Observance,
Mar 30,Tuesday,Doctors' Day,Observance,
Mar 31,Wednesday,César Chávez Day,State holiday,"AZ*, CA*, CO***, MI*, NM*, NV*, TX***, UT*, WA*, WI*"
,,,,
Apr 1,Thursday,Maundy Thursday,Christian,
,,,,
,,,,
Apr 2,Friday,Good Friday,State holiday,"CT, DE, HI, IN, KY, LA, NC, ND, NJ, TN, TX***"
Apr 2,Friday,Pascua Florida Day,Local observance,Florida
Apr 3,Saturday,Holy Saturday,Christian,
Apr 4,Sunday,Last Day of Passover,Jewish holiday,
,,,,
Apr 4,Sunday,Easter Sunday,"Observance, Christian",
Apr 5,Monday,Easter Monday,"Observance, Christian",
,,,,
Apr 6,Tuesday,National Tartan Day,Observance,
Apr 6,Tuesday,National Library Workers' Day,Observance,
,,,,
,,,,
Apr 8,Thursday,Yom HaShoah,Jewish commemoration,
,,,,
Apr 13,Tuesday,Ramadan Starts,Muslim,
Apr 13,Tuesday,Thomas Jefferson's Birthday,Observance,
Apr 15,Thursday,Yom Ha'atzmaut,Jewish holiday,
Apr 15,Thursday,Father Damien Day,Local observance,Hawaii
Apr 16,Friday,Emancipation Day,State holiday,DC
,,,,
Apr 19,Monday,Patriot's Day,State holiday,"Maine, Massachusetts"
,,,,
Apr 21,Wednesday,San Jacinto Day,State holiday,Texas
Apr 21,Wednesday,Administrative Professionals Day,Observance,
,,,,
Apr 22,Thursday,Oklahoma Day,Local observance,Oklahoma
Apr 22,Thursday,Take our Daughters and Sons to Work Day,Observance,
Apr 26,Monday,Confederate Memorial Day,State holiday,Mississippi
Apr 26,Monday,Confederate Memorial Day,State holiday,Alabama
Apr 26,Monday,Confederate Heroes' Day,Local observance,Florida
Apr 26,Monday,State Holiday,State holiday,Georgia
,,,,
Apr 30,Friday,Lag BaOmer,Jewish holiday,
Apr 30,Friday,Orthodox Good Friday,Orthodox,
,,,,
Apr 30,Friday,Arbor Day,State holiday,Nebraska
Apr 30,Friday,Kentucky Oaks,Sporting event,
,,,,
May 1,Saturday,Orthodox Holy Saturday,Orthodox,
May 1,Saturday,Kentucky Derby,Sporting event,
May 1,Saturday,Law Day,Observance,
May 1,Saturday,Loyalty Day,Observance,
May 1,Saturday,National Explosive Ordnance Disposal (EOD) Day,Observance,
May 1,Saturday,Lei Day,Local observance,Hawaii
May 1,Saturday,First Day of Asian Pacific American Heritage Month,Annual monthly observance,
May 2,Sunday,Orthodox Easter,Orthodox,
,,,,
May 3,Monday,Orthodox Easter Monday,Orthodox,
,,,,
May 4,Tuesday,Kent State Shootings Remembrance,Local observance,Ohio
May 4,Tuesday,Rhode Island Independence Day,Local observance,Rhode Island
May 5,Wednesday,Cinco de Mayo,Observance,
May 6,Thursday,National Nurses Day,Observance,
May 6,Thursday,National Day of Prayer,Observance,
May 7,Friday,Truman Day observed,State holiday,Missouri
May 7,Friday,Military Spouse Appreciation Day,Observance,
May 8,Saturday,Lailat al-Qadr,Muslim,
,,,,
,,,,
,,,,
May 8,Saturday,Truman Day,State holiday,Missouri
May 8,Saturday,Victory in Europe Day,Observance,
May 9,Sunday,Mother's Day,Observance,
,,,,
May 13,Thursday,Ascension Day,Christian,
May 13,Thursday,Eid al-Fitr,Muslim,
May 14,Friday,Native American Day,State Observation,Wyoming
,,,,
May 15,Saturday,Peace Officers Memorial Day,Observance,
May 15,Saturday,Armed Forces Day,Observance,
May 15,Saturday,Preakness Stakes,Sporting event,
May 17,Monday,Shavuot,Jewish holiday,
,,,,
May 17,Monday,Tax Day,Observance,
May 19,Wednesday,Emergency Medical Services for Children Day,Observance,
,,,,
,,,,
May 21,Friday,National Defense Transportation Day,Observance,
,,,,
May 22,Saturday,National Maritime Day,Observance,
May 22,Saturday,Harvey Milk Day,Local observance,California
May 23,Sunday,Pentecost,Christian,
,,,,
May 24,Monday,Whit Monday,Christian,
,,,,
May 25,Tuesday,National Missing Children's Day,Observance,
,,,,
,,,,
May 30,Sunday,Trinity Sunday,Christian,
,,,,
May 31,Monday,Memorial Day,Federal Holiday,
May 31,Monday,Jefferson Davis' Birthday,Local observance,Mississippi
,,,,
,,,,
Jun 1,Tuesday,First Day of Pride Month,Annual monthly observance,
Jun 1,Tuesday,Statehood Day,Local observance,"Kentucky, Tennessee"
Jun 2,Wednesday,Native American Day,State Observation,Arizona
Jun 3,Thursday,Corpus Christi,Christian,
Jun 3,Thursday,Jefferson Davis' Birthday,Local observance,Florida
,,,,
,,,,
Jun 5,Saturday,Belmont Stakes,Sporting event,
Jun 6,Sunday,D-Day,Observance,
Jun 7,Monday,Jefferson Davis' Birthday,State holiday,Alabama
,,,,
Jun 11,Friday,Kamehameha Day,State holiday,Hawaii
,,,,
Jun 12,Saturday,Loving Day,Observance,
,,,,
Jun 13,Sunday,Bunker Hill Day,Local observance,Massachusetts
,,,,
Jun 14,Monday,Army Birthday,Observance,
Jun 14,Monday,Flag Day,Observance,
,,,,
Jun 19,Saturday,Juneteenth,Federal Holiday,
Jun 20,Sunday,Father's Day,Observance,
Jun 20,Sunday,West Virginia Day,State holiday,West Virginia
Jun 20,Sunday,American Eagle Day,Observance,
Jun 20,Sunday,June Solstice,Season,
,,,,
Jun 21,Monday,West Virginia Day observed,State holiday,West Virginia
Jul 4,Sunday,Independence Day,Federal Holiday,
,,,,
Jul 13,Tuesday,Nathan Bedford Forrest Day,Local observance,Tennessee
Jul 14,Wednesday,Bastille Day,Observance,
,,,,
Jul 16,Friday,Rural Transit Day,Observance,
Jul 18,Sunday,Tisha B'Av,Jewish holiday,
,,,,
Jul 20,Tuesday,Eid al-Adha,Muslim,
Jul 24,Saturday,Pioneer Day,State holiday,Utah
Jul 25,Sunday,Parents' Day,Observance,
Jul 27,Tuesday,National Korean War Veterans Armistice Day,Observance,
Aug 1,Sunday,Colorado Day,Local observance,Colorado
Aug 4,Wednesday,Coast Guard Birthday,Observance,
Aug 4,Wednesday,Barack Obama Day,Observance,Illinois
Aug 7,Saturday,Purple Heart Day,Observance,
,,,,
Aug 9,Monday,Victory Day,State holiday,Rhode Island
Aug 10,Tuesday,Muharram,Muslim,
,,,,
,,,,
Aug 15,Sunday,Assumption of Mary,Christian,
Aug 16,Monday,Bennington Battle Day,State holiday,Vermont
,,,,
Aug 19,Thursday,National Aviation Day,Observance,
Aug 20,Friday,Hawaii Statehood Day,State holiday,Hawaii
Aug 21,Saturday,Senior Citizens Day,Observance,
,,,,
Aug 26,Thursday,Women's Equality Day,Observance,
Aug 27,Friday,Lyndon Baines Johnson Day,State holiday,Texas
Sep 6,Monday,Labor Day,Federal Holiday,
Sep 7,Tuesday,Rosh Hashana,Jewish holiday,
,,,,
Sep 9,Thursday,California Admission Day,Local observance,California
,,,,
Sep 11,Saturday,First Responders Day,State Observation,North Carolina
Sep 11,Saturday,Patriot Day,Observance,
Sep 11,Saturday,Carl Garner Federal Lands Cleanup Day,Observance,
,,,,
Sep 12,Sunday,National Grandparents Day,Observance,
,,,,
,,,,
,,,,
Sep 16,Thursday,Yom Kippur,Jewish holiday,
,,,,
Sep 17,Friday,Constitution Day and Citizenship Day,Observance,
Sep 17,Friday,National POW/MIA Recognition Day,Observance,
Sep 18,Saturday,Air Force Birthday,Observance,
Sep 18,Saturday,National CleanUp Day,Observance,
Sep 21,Tuesday,First Day of Sukkot,Jewish holiday,
,,,,
Sep 22,Wednesday,Emancipation Day,Local observance,Ohio
Sep 22,Wednesday,September Equinox,Season,
,,,,
,,,,
Sep 24,Friday,Native American Day,State Observation,"California, Nevada"
Sep 24,Friday,American Indian Heritage Day,State Observation,"Montana, Texas"
Sep 24,Friday,Michigan Indian Day,State Observation,Michigan
,,,,
Sep 26,Sunday,Gold Star Mother's Day,Observance,
Sep 27,Monday,Last Day of Sukkot,Jewish holiday,
,,,,
Sep 27,Monday,American Indian Day,State Observation,Tennessee
Sep 28,Tuesday,Shmini Atzeret,Jewish holiday,
,,,,
Sep 29,Wednesday,Simchat Torah,Jewish holiday,
,,,,
,,,,
,,,,
,,,,
,,,,
Oct 4,Monday,Feast of St Francis of Assisi,Christian,
,,,,
Oct 4,Monday,Frances Xavier Cabrini Day,State holiday,Colorado
Oct 4,Monday,Child Health Day,Observance,
,,,,
,,,,
,,,,
Oct 9,Saturday,Leif Erikson Day,Observance,
,,,,
Oct 10,Sunday,Chicago Marathon,Sporting event,
,,,,
Oct 11,Monday,Columbus Day,Federal Holiday,
Oct 11,Monday,Columbus Day,State holiday,22 states
Oct 11,Monday,Columbus Day,State Legal Holiday,Tennessee
Oct 11,Monday,Fraternal Day,State holiday,Alabama
Oct 11,Monday,Yorktown Victory Day,State holiday,Virginia
Oct 11,Monday,Discoverers’ Day,State Observation,Hawaii
Oct 11,Monday,Native American Day,State holiday,South Dakota
Oct 11,Monday,Native American Day,State Observation,Oklahoma
Oct 11,Monday,Indigenous People's Day,State holiday,"DC, ME, NM"
Oct 11,Monday,Indigenous People's Day (Tentative Date),State Observation,"CA, ID, LA, MI, MN, OR"
Oct 11,Monday,Indigenous People's Day,State Observation,28 states
Oct 11,Monday,American Indian Heritage Day,State holiday,Alabama
Oct 11,Monday,Boston Marathon (Tentative Date),Sporting event,
,,,,
Oct 13,Wednesday,Navy Birthday,Observance,
,,,,
,,,,
Oct 15,Friday,White Cane Safety Day,Observance,
Oct 15,Friday,Boss's Day,Observance,
,,,,
Oct 16,Saturday,Sweetest Day,Observance,13 states
,,,,
Oct 18,Monday,Alaska Day,State holiday,Alaska
Oct 19,Tuesday,The Prophet's Birthday,Muslim,
,,,,
,,,,
,,,,
,,,,
